GAMES,ROUNDS,HitSpacesInRow4,AdjMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoDiagHitsWithAdjHit4,HitSpacesInRow5,AdjMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoDiagHitsWithAdjHit5,HitSpacesInRow3,AdjMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoDiagHitsWithAdjHit3,HitSpacesInRow2,AdjMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52,NoDiagHitsWithAdjHit2
310,56,0.273238308030647,-0.403578648720158,-0.0360099122644986,-0.071625431832641,-0.103437530315182,-0.113226874459165,-0.127358806129164,0.417736575765516,0.298515873086628,-0.446419654695258,0.00536495925857642,-0.048445310537131,-0.134275936057407,-0.12143527939153,-0.122557560480623,0.256053332012237,-0.0630154107491969,-0.701750282755255,-0.15511776510447,-0.200671025999443,-0.334243752212717,-0.428971764620988,-0.408636989187023,1.1311448502399,-0.216951298266326,-0.592637785812508,-0.0830463691523922,-0.280815171199801,-0.370324449895211,-0.537472966668219,-0.547057055924887,1.27386343585021
320,58,0.244540667889913,-0.336588868173146,-0.0360099122644986,-0.0643652947393695,-0.0841202237032885,-0.127649323255343,-0.121887683446597,0.417003335644726,0.329009094945655,-0.430503593282774,0.00536495925857642,-0.0455871562920821,-0.130479542790397,-0.118215382803003,-0.134064125389649,0.263811717877153,0.0750021747010729,-0.65310687508533,-0.170409591211557,-0.189965574651225,-0.305169305943702,-0.405421740254938,-0.417756221330788,1.24009327767665,-0.227223243381155,-0.636060038253844,-0.076211521279235,-0.300390073852541,-0.398297768674318,-0.556180714980468,-0.558565741491161,1.24874646032092
330,55,0.220282902396352,-0.337417081299171,-0.0416879678984748,-0.059381696242179,-0.0692904723409131,-0.119748440144233,-0.121887683446597,0.408097857146172,0.329009094945655,-0.430503593282774,0.00536495925857642,-0.0455871562920821,-0.130479542790397,-0.118215382803003,-0.134064125389649,0.263811717877153,-0.0610255045244838,-0.592437190277873,-0.187960262871262,-0.199305717530874,-0.304423763803583,-0.41323891677531,-0.464502469164798,1.23274138535207,-0.183439097570948,-0.609358363161765,-0.0833125687932051,-0.277976399801994,-0.405748784750568,-0.551490425865661,-0.568047861895175,1.26185619834054
340,55,0.242307517501781,-0.321903386425805,-0.0416879678984748,-0.054441028665538,-0.0639861696377529,-0.115634390848135,-0.127679448261805,0.419372056517184,0.309061903309565,-0.424167310159588,0.00437354562833113,-0.0577935947462085,-0.130042515419594,-0.133398378036381,-0.160496466392258,0.291434786264575,-0.0921579218746228,-0.574484270286976,-0.202641864189964,-0.206292377043731,-0.303478466771075,-0.413537384618975,-0.465386832248991,1.24565714958879,-0.27721787963764,-0.539589501854467,-0.106388206564162,-0.287523646184947,-0.406817553479787,-0.527626182626529,-0.538499784170247,1.26567514577306
350,58,0.261298489112108,-0.303668308204936,-0.0416879678984748,-0.054441028665538,-0.0639861696377529,-0.115634390848135,-0.127679448261805,0.42375055541469,0.292057625797449,-0.417365876231246,-0.000249740327110066,-0.0577935947462085,-0.127512878867024,-0.139844366349071,-0.159235599818958,0.293456365241247,-0.0227418859250802,-0.663417189389589,-0.212911798075211,-0.2210246495763,-0.307095155739263,-0.404078176310058,-0.470314921704161,1.24973749163462,-0.181493383248179,-0.534543962514947,-0.0745226770212954,-0.282789965005854,-0.407796825457546,-0.511737280259367,-0.521843078592938,1.25376296747886
360,56,0.161904471300344,-0.320070956344759,-0.0369393730594059,-0.0498571660872672,-0.0649474298002561,-0.106894737458102,-0.132950879627314,0.398645236387605,0.291907584534085,-0.419535280863916,-0.000249740327110066,-0.0577935947462085,-0.127512878867024,-0.148261973839028,-0.159235599818958,0.293456365241247,-0.167099228901231,-0.72814030058076,-0.187686286147658,-0.220759213194789,-0.327531250494508,-0.415759848909529,-0.474894972477254,1.24951640596993,-0.162110528920619,-0.533055047393183,-0.05086114653077,-0.282076068930935,-0.39132447103319,-0.508334930294155,-0.54078583472867,1.25297651957648
370,61,0.193967713972828,-0.284744906570894,-0.0369393730594059,-0.0498571660872672,-0.055535694552303,-0.106894737458102,-0.132950879627314,0.409482765983452,0.310244166648252,-0.410976083896928,-0.000249740327110066,-0.0577935947462085,-0.127512878867024,-0.148261973839028,-0.159235599818958,0.294778672343023,-0.0533716332896714,-0.589361478930465,-0.195366357312588,-0.232606311573634,-0.350657429528356,-0.416739067644881,-0.474618831723057,1.32523196661043,-0.184771226483267,-0.46106139665538,-0.0250757849194571,-0.295467207667665,-0.351936442543126,-0.480936374505183,-0.548796674640663,1.29342838640203
380,59,0.173894194481444,-0.28012202699296,-0.0338738433595772,-0.0500065268174124,-0.0459208777060882,-0.116112700788352,-0.137705328448261,0.398721422211849,0.31483722788169,-0.412062618555162,-0.000249740327110066,-0.0577935947462085,-0.127512878867024,-0.148261973839028,-0.164511198617241,0.29673471527344,-0.0100063128775301,-0.564189603178732,-0.201426378144133,-0.246186509008949,-0.369405463430893,-0.427023208287173,-0.505795158690009,1.33675346718544,-0.279999271644192,-0.51622432169211,-0.0328245394442206,-0.283168263922366,-0.337549843191402,-0.462151646788872,-0.541677751973979,1.22428275984696
390,58,0.163777902441392,-0.265684630891294,-0.0338738433595772,-0.0500065268174124,-0.0416964779057226,-0.112362421167588,-0.137705328448261,0.402935518525083,0.328262916361477,-0.408824870344997,-0.000249740327110066,-0.0577935947462085,-0.127512878867024,-0.148261973839028,-0.161280535236138,0.29673471527344,0.06712444074515,-0.575933053986683,-0.205049037713223,-0.259108693075819,-0.362188627747496,-0.426055551311671,-0.484333051803513,1.31173729822326,-0.21454214086601,-0.50548352799026,-0.0643629295441065,-0.287275439648115,-0.337949587586856,-0.482284210560818,-0.536584825842413,1.33583949630794
400,64,0.199477240965371,-0.219111886243032,-0.0287071413675647,-0.0500065268174124,-0.0416964779057226,-0.112362421167588,-0.131680739380651,0.408089317037478,0.389715682622054,-0.349827684442809,-0.000249740327110066,-0.0577935947462085,-0.118019535512178,-0.148261973839028,-0.161280535236138,0.305975500706872,-0.0631206065060696,-0.619138789297945,-0.199366487043181,-0.262824305921004,-0.38751024557539,-0.441939492988041,-0.50393167715861,1.29261993234067,-0.266069475645581,-0.623462942509019,-0.0911528129440935,-0.308454677154501,-0.36890643038259,-0.505223836398662,-0.476840085624515,1.35832506576327
