GAMES,ROUNDS,NoHits4,NoMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoHits5,NoMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoHits3,NoMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoHits2,NoMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52
310,82,0.00586301242447593,-0.0687195907355742,-0.00312011768207733,-0.00333937736955891,-0.00424314756481135,-0.00386809783939768,-0.0040000111519463,0.00909707611622206,-0.0406643141378905,-0.00087760378489669,-0.00191477701532089,-0.0027450822023544,-0.00313212131996676,-0.00271745335118728,0.0144378474373786,-0.16232734183295,-0.00625190264355183,-0.0113264292685609,-0.0144937665123653,-0.0195045909820785,-0.0162640478427009,0.00450574258654687,-0.285414425440045,-0.0109168350497061,-0.0186033442966232,-0.0248305309808329,-0.0270761340840436,-0.0267288416312664
320,87,0.00622209230078272,-0.0697639875594703,-0.00312011768207733,-0.00338582273893794,-0.00424314756481135,-0.00425885394087071,-0.00398298098331562,0.00947214061981334,-0.0421899232507506,-0.00102230696297883,-0.00190293073470587,-0.00306675848638788,-0.00337154042940335,-0.0028119629367704,0.0143427990170595,-0.164735139157507,-0.00633830500115202,-0.0116605380446105,-0.0147152818718317,-0.0202052993318816,-0.0167425072920468,0.00614155546477257,-0.288723632796259,-0.0115475582527893,-0.0187175482724992,-0.0254147986380463,-0.0279254236633202,-0.0279738128930141
330,81,0.00660532804024051,-0.0742658464571262,-0.0032554270791887,-0.00359069015835026,-0.00462562207917086,-0.00431041310469074,-0.00446295214369571,0.00947214061981334,-0.0421899232507506,-0.00102230696297883,-0.00190293073470587,-0.00306675848638788,-0.00337154042940335,-0.0028119629367704,0.0140357366128228,-0.167869775383571,-0.00627680749436339,-0.0120458017798751,-0.0150280797242647,-0.0208769857462434,-0.0167894761758716,0.00892798223950646,-0.291407564304744,-0.0114338514524838,-0.019422577320274,-0.0258156904067078,-0.0281315931318713,-0.0285806328810883
340,82,0.00635155286945873,-0.0755469345953631,-0.00330364042621002,-0.00371477656048219,-0.00480591102382379,-0.00440147330759558,-0.00450582124866703,0.010242792675164,-0.04115924412666,-0.000964659728459211,-0.00188956592205544,-0.00300379188032602,-0.00351902278294734,-0.00286082949705088,0.0150128884142104,-0.174821895087397,-0.00635497147540721,-0.0121556545135756,-0.0160322504578553,-0.0215816405779131,-0.0172278342229109,0.00968004390133877,-0.294288983867085,-0.0116653536098113,-0.0198876622877176,-0.026269524905034,-0.0285341273001998,-0.0290295778510098
350,81,0.00693841097119724,-0.0772240563621876,-0.00336669772390917,-0.00371212272871387,-0.00498069101510758,-0.0045604461504555,-0.00442952116953156,0.0101249669320807,-0.0435725895897525,-0.00101061063630246,-0.0019833261888193,-0.00333619008745476,-0.00365226626597766,-0.00304615761913792,0.0154381430861644,-0.17765414673286,-0.00640772634255998,-0.0124642221182065,-0.0160491095469865,-0.0223248763256449,-0.0180344273600892,0.00978530243120602,-0.296849601681584,-0.0118686760926761,-0.0201296175733132,-0.0271054455289144,-0.0293023907426698,-0.0296960901270373
360,79,0.00686668424903387,-0.0777214304161431,-0.00349766652516387,-0.00357694130998961,-0.00502862196267305,-0.00486770039854138,-0.00460459279316642,0.0101249669320807,-0.0435725895897525,-0.00101061063630246,-0.0019833261888193,-0.00333619008745476,-0.00365226626597766,-0.00304615761913792,0.0172837592682522,-0.181492663667466,-0.00685432240924429,-0.013030301362387,-0.0163647691699608,-0.0230039566185095,-0.0187277752548159,0.0113083242510867,-0.300012868326131,-0.0121519145197955,-0.0202178380089379,-0.0274303094287824,-0.0295291114861793,-0.0305725847868697
370,78,0.00690014873020527,-0.0785976718710097,-0.00349766652516387,-0.00362293292430779,-0.00507456382431365,-0.00495998256919234,-0.0046393136581745,0.0108262959958438,-0.0419289116597597,-0.000998772271675089,-0.00197105784104056,-0.00342721375063606,-0.00364050121586133,-0.00327445223973511,0.0184498343330115,-0.184947646824621,-0.00689877407328084,-0.0138020492555539,-0.0174190282394839,-0.0237475510970384,-0.0197747378742644,0.0112136272549846,-0.302579709815783,-0.0121299062138769,-0.0201921903712324,-0.0278586689174062,-0.0296684201134144,-0.030830512764571
380,84,0.00712078259378136,-0.0793072323709266,-0.00354362188367037,-0.00370318571928718,-0.0050171562690637,-0.00484846047121504,-0.00474283874441634,0.012010935703657,-0.0415413763615314,-0.00092441848262854,-0.0020043138819977,-0.00347284243573001,-0.00359262044558616,-0.00345715662342601,0.0191745391896514,-0.186516842288968,-0.00702519445543285,-0.013878280328304,-0.0177034639846121,-0.0239766087677166,-0.0203058499825049,0.0111464266433638,-0.308297415662913,-0.0125570511565437,-0.0203410057135076,-0.0284485507283419,-0.030413753832847,-0.0315573794764755
390,80,0.00732086859422343,-0.0804944480487952,-0.00367721477548391,-0.00382562122928839,-0.00515502587051517,-0.00504707875698635,-0.0047912003099167,0.0122352294779223,-0.0421371845936631,-0.000954752069138036,-0.00203912435513545,-0.00351853855943977,-0.00363829545596888,-0.00349973519369702,0.0194820029947272,-0.188737715910606,-0.00719858275572914,-0.014336745336088,-0.0179634446780116,-0.0244169729879204,-0.0208847203488802,0.0133512605814821,-0.3100019757511,-0.0127265964077153,-0.0212808545776129,-0.0289764132364348,-0.0306197096696084,-0.0324500178077791
400,81,0.00675578330637261,-0.083595972140373,-0.00371914793759139,-0.00395937350703265,-0.00532194114215479,-0.00539676121877144,-0.00487866068502288,0.0123250278835427,-0.0453501644063104,-0.00100260829170261,-0.00226806236848983,-0.00375173186229363,-0.00391295944544084,-0.00363837932389321,0.0192147496893795,-0.190106719932916,-0.00718569195842339,-0.0144879632817538,-0.0183560615043928,-0.0247468427923332,-0.0212421091927364,0.0166068263699157,-0.313295348450069,-0.0127444695389575,-0.0218708707160241,-0.0291225256183574,-0.031208651842106,-0.0331697001534969
